ID,BST_Depth,AVL_Depth,Splay_Depth
Row 839,840,7,4
Row 840,841,10,2
Row 841,842,9,3
Row 842,843,10,2
Row 843,844,8,9
Row 844,845,10,5
Row 845,846,9,5
Row 846,847,10,3
Row 847,848,6,5
Row 848,849,10,3
Row 849,850,9,4
Row 850,851,10,2
Row 851,852,8,7
Row 852,853,10,4
Row 853,854,9,4
Row 854,855,10,2
Row 855,856,7,4
Row 856,857,10,2
Row 857,858,9,3
Row 858,859,10,2
Row 859,860,8,7
Row 860,861,10,4
Row 861,862,9,4
Row 862,863,10,2
Row 863,864,5,4
Row 864,865,10,2
Row 865,866,9,3
Row 866,867,10,2
Row 867,868,8,6
Row 868,869,10,3
Row 869,870,9,4
Row 870,871,10,2
Row 871,872,7,4
Row 872,873,10,2
Row 873,874,9,3
Row 874,875,10,2
Row 875,876,8,8
Row 876,877,10,4
Row 877,878,9,4
Row 878,879,10,2
Row 879,880,6,4
Row 880,881,10,2
Row 881,882,9,3
Row 882,883,10,2
Row 883,884,8,6
Row 884,885,10,3
Row 885,886,9,4
Row 886,887,10,2
Row 887,888,7,4
Row 888,889,10,2
Row 889,890,9,3
Row 890,891,10,2
Row 891,892,8,6
Row 892,893,10,3
Row 893,894,9,4
Row 894,895,10,2
Row 895,896,3,4
Row 896,897,10,2
Row 897,898,9,3
Row 898,899,10,2
Row 899,900,8,5
Row 900,901,10,3
Row 901,902,9,4
Row 902,903,10,2
Row 903,904,7,4
Row 904,905,10,2
Row 905,906,9,3
Row 906,907,10,2
Row 907,908,8,8
Row 908,909,10,4
Row 909,910,9,4
Row 910,911,10,2
Row 911,912,6,4
Row 912,913,10,2
Row 913,914,9,3
Row 914,915,10,2
Row 915,916,8,6
Row 916,917,10,3
Row 917,918,9,4
Row 918,919,10,2
Row 919,920,7,4
Row 920,921,10,2
Row 921,922,9,3
Row 922,923,10,2
Row 923,924,8,6
Row 924,925,10,3
Row 925,926,9,4
Row 926,927,10,2
Row 927,928,5,4
Row 928,929,10,2
Row 929,930,9,3
Row 930,931,10,2
Row 931,932,8,5
Row 932,933,10,3
Row 933,934,9,4
Row 934,935,10,2
Row 935,936,7,4
Row 936,937,10,2
Row 937,938,9,3
Row 938,939,10,2
Row 939,940,8,7
Row 940,941,10,4
Row 941,942,9,4
Row 942,943,10,2
Row 943,944,6,4
Row 944,945,10,2
Row 945,946,9,3
Row 946,947,10,2
Row 947,948,8,6
Row 948,949,10,3
Row 949,950,9,4
Row 950,951,10,2
Row 951,952,7,4
Row 952,953,10,2
Row 953,954,9,3
Row 954,955,10,2
Row 955,956,8,6
Row 956,957,10,3
Row 957,958,9,4
Row 958,959,10,2
Row 959,960,4,4
Row 960,961,9,2
Row 961,962,8,3
Row 962,963,9,2
Row 963,964,7,5
Row 964,965,9,3
Row 965,966,8,4
Row 966,967,9,2
Row 967,968,6,4
Row 968,969,9,2
Row 969,970,8,3
Row 970,971,9,2
Row 971,972,7,6
Row 972,973,9,3
Row 973,974,8,4
Row 974,975,9,2
Row 975,976,5,4
Row 976,977,10,2
Row 977,978,9,3
Row 978,979,10,2
Row 979,980,8,5
Row 980,981,10,3
Row 981,982,9,4
Row 982,983,10,2
Row 983,984,7,4
Row 984,985,10,2
Row 985,986,9,3
Row 986,987,10,2
Row 987,988,8,5
Row 988,989,10,3
Row 989,990,9,4
Row 990,991,10,2
Row 991,992,6,4
Row 992,993,9,2
Row 993,994,8,3
Row 994,995,9,2
Row 995,996,7,4
Row 996,997,9,2
Row 997,998,8,3
Row 998,999,9,2
Row 999,1000,10,2
Row 1000,2,11,1001
